idx,code,input,name_1,name_2,date_1,date_2,time_1,time_2,worker,date
221,c13,bạn tôi tên lê văn bảy đã thay đổi lịch giúp tôi id: Lê Đoàn Duy đúng không?,lê văn bảy,Lê Đoàn Duy,,,,,vũ,15/7
222,c13,lúc bốn giờ chiều nay bạn chị võ nhật duy đã thay đổi lịch hẹn của chị . Chị tên Trang Tố Phượng ,võ nhật duy,Trang Tố Phượng,,,bốn giờ chiều,,,
223,c13,id: 1233 thay đổi tên nguyễn ngọc đông sang Nguyễn Ngọc Đông,nguyễn ngọc đông,Nguyễn Ngọc Đông,,,,,,
224,c13,tôi muốn nhường lịch hẹn của tôi tên lý ngọc hồ cho bạn Lê Hoàng Nam,lý ngọc hồ,Lê Hoàng Nam,,,,,,
225,c13,vợ tôi đi khám thai định kỳ muốn dời lịch sang tuần sau tên vợ: nguyễn thị thủy tên tôi: Nguyễn Minh Chương,nguyễn thị thủy,Nguyễn Minh Chương,tuần sau,,,,,
226,c13,bà chị tôi lương thị ánh hồng nhờ tôi dời lịch sang ngày mai trùng lịch của tôi Lệ Thị Tựa,lương thị ánh hồng,Lệ Thị Tựa,ngày mai,,,,,
227,c13,vài lúc 9 giờ 30 p sáng anh tôi bị kẹt xe nên nhờ dịch sang tuần sau tên anh tôi: trần thanh hải. Ký tên Bùi Thị Triển,trần thanh hải,Bùi Thị Triển,,,9 giờ 30 p sáng,,,
228,c13,bot ơi sắp xếp lại hộ ng thị út sang khám cho bs Ng Quốc Duy,ng thị út,Ng Quốc Duy,,,,,,
229,c13,chuyển lịch hẹn của tôi từ bác đoàn văn hiểu sang Đinh Thị Hoài,đoàn văn hiểu,Đinh Thị Hoài,,,,,,
230,c13,bs cao thị hải hẹn tôi sang tuần sau id của tôi là : Mã Thị Lan,cao thị hải,Mã Thị Lan,tuần sau,,,,,
231,c14,con em Cao Thị Hà và em cao thị hải muốn dời lịch tái khám tim sang ngày 21/3,Cao Thị Hà,cao thị hải,21/3,,,,vũ,15/7
232,c14,hôm qua em có đổi lịch hen của chồng Nguyễn Vũ Hạn . ký tên cao thị hà,Nguyễn Vũ Hạn,cao thị hà,hôm qua,,,,,
233,c14,chồng em tên Huỳnh Phú bị tai nạn nên em phải dời lịch tái khám của em sang ngày khác ký tên võ kim thoa,Huỳnh Phú,võ kim thoa,,,,,,
234,c14,mã tên: Lê Thị Điệp thay đổi lịch hẹn dùm hà thị phương,Lê Thị Điệp,hà thị phương,,,,,,
235,c14,con em tên Lê Hoàng Khải có lịch hẹn tái khám tim hôm nay nhưng bs lê bảo lộc dặn dời lịch hẹn,Lê Hoàng  Khải,lê bảo lộc,hôm nay,,,,,
236,c14,con muốn sửa thông tin lịch hẹn tên Võ Thị Thúy Lợi sang võ thị thúy,Võ Thị Thúy Lợi,võ thị thúy,,,,,,
237,c14,lám gì để được đổi bác sỹ Diệp Hoàng Lâm sang ông ng quang duy,Diệp Hoàng Lâm,ng quang duy,,,,,,
238,c14,Nguyễn Văn Tèo có nhờ tôi liên hệ với bác sỹ nguyễn kim cương dời lịch hẹn hinh như sang tháng sau,Nguyễn Văn Tèo,nguyễn kim cương,tháng sau,,,,,
239,c14,tôi có thể dời lịch hẹn với bác sỹ Lê Văn Tánh sang ngày kia được không hoặc có thể gặp bs huỳnh văn lâm,Lê Văn Tánh,huỳnh văn lâm,ngày kia,,,,,
240,c14,"lúc 3:00pm em tôi tên Lê Quốc Vững bị tai nạn. nên tôi không đến khám được, vui lòng dời sang ngày khác. ký tên lê viết quốc",Lê Quốc Vững,lê viết quốc,,,3:00pm,,,
241,c15,hi bot nhờ sắp xếp lại lịch của đỗ văn đầy và đỗ mười,đỗ văn đầy,đỗ mười,,,,,vũ,15/7
242,c15,"làm ơn dời lịch khám của chung thành phương, chung phương thành sang ngày 22 tháng 8",chung thành phương,chung phương thành,22 tháng 8,,,,,
243,c15,bác đặng thị hiếu ở khoa da liễu hẹn tôi vào ngày 22 tháng sau. nhờ bot sắp xếp lại. ký tên diệp hoài lâm,đặng thị hiếu,diệp hoài lâm,22 tháng sau,,,,,
244,c15,sửa lại lịch hẹn của tôi ng thị ngọc hà và nguyễn thị kiều phương sang ngày khác được không,ng thị ngọc hà,nguyễn thị kiều phương,,,,,,
245,c15,đinh thị trà my nhờ sửa ngày tháng năm sinh của trần thị hà,đinh thị trà my,trần thị hà,,,,,,
246,c15,đổi cái giờ hẹn tái khám của phạm thị nhan vì chị ây đã khám với bác sỹ địa phương tô thị mên hôm qua,phạm thị nhan,tô thị mên,hôm qua,,,,,
247,c15,tái khám với bác sỹ khoa mắt nguyễn văn thơm đã được dời sang ngày khác chưa. sign phan thị my,nguyễn văn thơm,phan thị my,,,,,,
248,c15,phòng khám bùi thị hiền đã đầy tui muốn khám sang phòng khác . tên tui võ thị thảo trang,bùi thị hiền,võ thị thảo trang,,,,,,
249,c15,sửa lại giúp em sđt của 2 anh danh hùng và huỳnh thanh nhã,danh hùng,huỳnh thanh nhã,,,,,,
250,c15,hình như thông tin chị phan thị lý tôi ghi sai sửa lại giúp tôi phạm thị lý,phan thị lý,phạm thị lý,,,,,,
251,c16,tôi Quoách Tiểu Loan viết sai tên lịch hẹn sửa lại giúp thành Quoách Tiểu Loan,Quoách Tiểu Loan,Quoách Tiểu Loan,,,,,vũ,15/7
252,c16,quản lý nhờ em Lâm Chong dời lịch hẹn anh ấy sang ngày giờ khác tên qly Lâm Tây,Lâm Chong,Lâm Tây,,,,,,
253,c16,Lê Thị Huế có đặt hẹn giúp chị vào hôm bữa nhưng sai thông tin tên . Tên của chị đúng là Bùi Hằng,Lê Thị Huế,Bùi Hằng,,,,,,
254,c16,Dương Thị Hương đang cà phê gặp đối tác nên nhờ em dời lịch hẹn khám với bác sỹ Huệ Tú,Dương Thị Hương,Huệ Tú,,,,,,
255,c16,Nguyễn Dữ đang bận nhờ em đổi lịch hẹn của a ấy sang ngày khác cảm ơn bác Lý Bí,Nguyễn Dữ,Lý Bí,,,,,,
256,c16,sếp em Nguyễn Huệ đã tạm giảm triệu chứng nên nhờ thay đổi tt triệu chứng với bác sỹ Quang Trung,Nguyễn Huệ,Quang Trung,,,,,,
257,c16,9p nữa hình như có lịch khám của Hai Bà Trưng với Điện Biên Phủ nhưng bác sỹ bận rồi dời sang ngày sau được k,Hai Bà Trưng,Điện Biên Phủ,,,9p nữa,,,
258,c16,lịch khám đầu giờ chiều chuyển sang ngày mai được không bs Dương Quyền tôi đã hỏi chị y tá Lê Thị Huế,Dương Quyền,Lê Thị Huế,ngày mai,,đầu giờ chiều,,,
259,c16,Thạch Thị Sóc Hên và Phạm Thị Hằng đã dời lịch hẹn sang hôm sau,Thạch Thị Sóc Hên,Phạm Thị Hằng,hôm sau,,,,,
260,c16,Lê Đức Trung là quản lý của a Văn Toàn nhờ dịch lịch kiểm tra y tế a ấy sang bữa sau,Lê Đức Trung,Văn Toàn,,,,,,
261,c17,Hoài Lâm con hoài Linh nhờ dời lịch bố a ấy,Hoài Lâm,hoài Linh,,,,,vũ,15/7
262,c17,Đặng Văn ý có ý định chuyển đổi lịch hẹn của bố anh ấy Đặng vĂn Lâm sang ngày kia,Đặng Văn ý,Đặng vĂn Lâm,ngày kia,,,,,
263,c17,chuyển id name: lê văn Lĩnh sang Lê Văn Lĩnh được hông bot,lê văn Lĩnh,Lê Văn Lĩnh,,,,,,
264,c17,tôi và bác sỹ trần Văn hội có xung đột nên tôi muốn đổi lịch sang bác sỹ khác ví dụ như hồ quang Thái,trần Văn hội,hồ quang Thái,,,,,,
265,c17,được phép đổi dùm lịch khám của bệnh nhân Danh điền không tôi là chị nó danh Linh,Danh điền,danh Linh,,,,,,
266,b13,đặt giúp mình lịch hẹn cho con gái hà mơ vs bác sĩ Như Quỳnh lúc 9 giờ sáng nhé,hà mơ,Như Quỳnh,,,9 giờ sáng,,nam,None
267,b13,đặt giúp tôi lịch với bs nguyễn xuân sang cho bố Lê Phú Quý nhé,nguyễn xuân sang,Lê Phú Quý,,,,,,
268,b13,"alo, đặt lịch cho mẹ nguyễn cát tường vs bác sỹ Tấn Thạnh khoa răng nhé",nguyễn cát tường,Tấn Thạnh,,,,,,
269,b13,chị muốn đặt lịch cho con trai võ hoài linh lúc 4 giờ ngày 20/06 với bs Quang Sáng,võ hoài linh,Quang Sáng,20/06,,4 giờ,,,
270,b13,"hey cưng, đặt giúp chị lịch khám thai với bác sĩ đào văn thiện hoặc bs Lê Trường Thọ 9 giờ tối ngày kia nhé",đào văn thiện, Lê Trường Thọ,ngày kia,,9 giờ tối,,,
271,b13,anh cần đặt lịch gấp cho bố hồ quang thịnh với bacs sĩ Huynhf Thúc Kháng,hồ quang thịnh,Huynhf Thúc Kháng,,,,,,
272,b13,tui tên huỳnh khánh linh muốn đặt lịch khám thai vơus bs Doãn Chí Bình khoa nhi,huỳnh khánh linh,Doãn Chí Bình,,,,,,
273,b13,"ê, đặt giúp t lịch với dr phạm công thưởng khoa tiết liệu nhé, à t đặt cho bố Huỳnh Tuấn Anh",phạm công thưởng,Huỳnh Tuấn Anh,,,,,,
274,b13,đặt giúp tôi lịch khám sớm nhất cho vợ hà thị mơ vs bs Nguyễn Thu Cúc lúc 7 giờ sáng nhé,hà thị mơ,Nguyễn Thu Cúc,,,7 giờ sáng,,,
275,b13,anh muốn đặt lịch chị hồ ngọc hà khoa phãu thuật chỉnh hình để hút mỡ cho vợ Minh Hằng,hồ ngọc hà,Minh Hằng,,,,,,
276,b14,hẹn sáng mai gặp bs Huỳnh Khánh Trọng và bs hồ mang khương nhé,Huỳnh Khánh Trọng,hồ mang khương,,,,,nam,None
277,b14,bố tui Phạm Xuân Sang cần đặt lịch khám tai với bs nguyễn tuấn kiệt,Phạm Xuân Sang,nguyễn tuấn kiệt,,,,,,
278,b14,"ê bot, đặt giúp lịch cho chị Linh vs bác sĩ hữu liêm khoa răng hàm mặt nhé",Linh,hữu liêm,,,,,,
279,b14,tui muốn đặt lịch cho mợ Ngọc Linh lúc 7 giờ sáng mai vs bs trần công minh,Ngọc Linh,trần công minh,sáng mai,,7 giờ sáng,,,
280,b14,"không phải, tôi đang muốn đặt cho chú Đỗ Tiến Mạnh vs bác sĩ tấn nghĩa khoa tim mạch cơ",Đỗ Tiến Mạnh,tấn nghĩa,,,,,,
281,b14,"bot nè, đặt giúp chị lịch khám với dr Vũ Kim Long, chị đặt chho mẹ là cao mỹ ái",Vũ Kim Long,cao mỹ ái,,,,,,
282,b14,"dạo này bố tôi bị khó thơr, tôi muốn đặt lịch khám tim với dr Vũ Thị Kim Mai, bố tôi tên quang tấn nghĩa nhé",Vũ Thị Thanh Mai,quang tấn nghĩa,,,,,,
283,b14,"tôi tên Đỗ Hà Lộc, muốn khám tổng quát vs bác sĩ nguyễn văn ân vào ngày 28/07",Đỗ Hà Lộc,nguyễn văn ân,28/07,,,,,
284,b14,chú tui Nguyễn Huệ Minh muốn khám vào 3 giờ chiều ngaỳ kia vs bs thành nam,Nguyễn Huệ Minh,thành nam,ngaỳ kia,,3 giờ chiều,,,
285,b14,đặt lịch cho chú là Lê Văn Hưu vs dr võ hoàng nam khoa tim mạch,Lê Văn Hưu,võ hoàng nam,,,,,,
286,b15,"bố tôi dạo này lại bị đau lại, tôi muốn đặt khám lại vs dr chu lan anh, bố tôi tên phạm minh khang",chu lan anh,phạm minh khang,,,,,nam,None
287,b15,đặt lịch giúp mợ là cao nhã phương với dr nguyễn huỳnh hải nam vào ngày 25/08,cao nhã phương,nguyễn huỳnh hải nam,25/08,,,,,
288,b15,anh muốn  lịch khám cho dì là nhật kim ngân với bác sĩ hồ trọng nghĩa khoa tai mũi hongj,nhật kim ngân,hồ trọng nghĩa,,,,,,
289,b15,"hi bot, đặt giúp anh lịch với bác sĩ đặng khánh an hoặc chu lan anh nhé",đặng khánh an,chu lan anh,,,,,,
290,b15,đặt khám thai ngày 15.09 vs bác sĩ quốc bảo hay bác sĩ tuấn anh đều được nhé,quốc bảo,tuấn anh,15.09,,,,,
291,b15,10 giờ sáng ngày 03/10 bác sĩ minh anh và nguyễn hồng phong ai rảnh thì đặt cho anh nhé,minh anh,nguyễn hồng phong,03/10,,10 giờ sáng,,,
292,b15,anh cần  lịch khám cho vợ trần thị kim ngân và con lương chí nguyên để khám tổng quán,trần thị kim ngân,lương chí nguyên,,,,,,
293,b15,"hey, đặt lịch khám cho cậu nguyễn hữu nhân, mợ đỗ thị linh ngày 27 tháng sau nhé",nguyễn hữu nhân,đỗ thị linh,27 tháng sau,,,,,
294,b15,"đặt lịch khám sức khoẻ cho ông phạm viết phong, bà nguyễn thị đằm ",phạm viết phong,nguyễn thị đằm,,,,,,
295,b15,"đặt kịch khám tổng quán cho con trai phạm minh khánh, con gái phạm hoài như ý vào ngày 29 tháng 11 nha",phạm minh khánh,phạm hoài như ý,29 tháng 11,,,,,
296,b16,"đặt lịch khám thai cho vợ Hà Thị Minh Phương vào 11 giờ sáng ngày 23 tháng 6, à đặt với bac sĩ Nguyễn Đông Phương nha",Hà Thị Minh Phương,Nguyễn Đông Phương,23 tháng 6,,11 giờ sáng,,nam,None
297,b16,mai bác sĩ Trần Minh Sơn có rảnh không nhỉ mình cần đặt lịch khám cho mẹ Ôn Hà Chung,Trần Minh Sơn,Ôn Hà Chung,,,,,,
298,b16,bác sĩ Lê Tự Thạnh Sinh và bác sĩ Nguyễn Thanh Tâm ai rảnh vào ngày mai thì đặt giúp tôi lịch vs người đó nhé,Lê Tự Thạnh Sinh,Nguyễn Thanh Tâm,ngày mai,,,,,
299,b16,"alo bot ơi, đặt lịch cho chị với bs Võ Trường Giang và bs Lê Quang Duy khoa phẫu thuật chỉnh hình nha",Võ Trường Giang,Lê Quang Duy,,,,,,
300,b16,"anh ơi, em cần đặt lịch khám cho con là Phan Đình Duy vs dr Nguyễn Ngọc Hà, mấy hôm nay nó bị nóng trong người",Phan Đình Duy,Nguyễn Ngọc Hà,,,,,,
301,b16,"đặt giúp em lịch khám vs bs Ngọc Hiền vào 8 giơ sáng mai nhé, nếu bs bận thì đặt giúp em vs bs Việt Hà",Ngọc Hiền,Việt Hà,mai,,8 giơ sáng,,,
302,b16,cần đăt lịch vs bác sỹ Trần Nguyên Hào và Phan Văn Hậu khoa thần kinh,Trần Nguyên Hào, Phan Văn Hậu,,,,,,
303,b16,đặt khám tổng quát cho vợ Lê Thị Hiền và con trai Phạm Minh Hiếu lúc 10h ngày 27/12,Lê Thị Hiền,Phạm Minh Hiếu,27/12,,10h,,,
304,b16,đặt khám thai cho vợ là Trần Thị Hường với bác sĩ Tống Hải Hưng,Trần Thị Hường,Tống Hải Hưng,,,,,,
305,b16,đặt khám lại cho con trai Huỳnh Kim Hưng với bác sỹ Cao Văn Huỳnh,Huỳnh Kim Hưng,Cao Văn Hưng,,,,,,
306,b17,"tui tên là CAO bá Quát, tui muốn đặt lịch khám với bs Nguyễn VŨ DŨNG 9 giờ tối",CAO bá Quát,Nguyễn VŨ DŨNG,,,9 giờ tối,,nam,None
307,b17,anh cần đặt lihc hộ cho bác Đinh Kha NAM với bác sỹ NguyỄn MinH TrÀ,Đinh Kha NAM,NguyỄn MinH TrÀ,,,,,,
308,b17,"cúc cu, bot đặt giúp tui lịch với bs Đào NGỌc KHẢI nhé, tui đặt cho cô là Bùi LAN ANH",Đào NGỌc KHẢI,Bùi LAN ANH,,,,,,
309,b17,"bot nè, chị là Phạm HOÀI THu chị muốn đặt lịch với vs NGUyễn Hồng MINH khoa thần kinh",Phạm HOÀI THu,NGUyễn Hồng MINH,,,,,,
310,b17,"15 giờ chiều mai bs sĩ Trương NHẬt MINH có rảnh ko, nếu ko đặt giúp tui lịch vs bác sỹ ĐẶng THỊ MÙI",Trương NHẬt MINH,ĐẶng THỊ MÙI,mai,,15 giờ chiều,,,
311,b18,"bác sĩ hữu minh mai có rảnh ko vậy, tôi cần đặt lịch khám tổng quát giúp bố là Trần HOÀNG NAm",hữu minh,Trần HOÀNG NAm,,,,,nam,None
312,b18,"mình đang cân đặt khám tổng quát cho bố là lê trọng nghĩa, mẹ là nguyỄn THị GianG ngày kia 9 giờ tối",lê trọng nghĩa,nguyỄn THị GianG,ngày kia,,9 giờ tối,,,
313,b18,cần đătj lịch cho 2 đứa con là phạm quang duy và BÙi Văn PHÚ vào 7 giờ sáng ngày 12/03,phạm quang duy,BÙi Văn PHÚ,12/03,,7 giờ sáng,,,
314,b18,2 bác tôi là nguyễn thị bích và NguyỄn ĐINH NGUYÊN cần đặt ịch khám tổng quát,nguyễn thị bích,NguyỄn ĐINH NGUYÊN,,,,,,
315,b18,"đặt lịch khám  bác sĩ đinh bá thi khoa răng miêngj, tôi đặt cho con là Huỳnh BÁ NHân",đinh bá thi,Huỳnh BÁ NHân,,,,,,
316,b19,đặt lịch khám với bác sĩ Trần LỄ NHƠN lúc 9 giờ tối ngày kia cho con phạm duy phong,Trần LỄ NHƠN,phạm duy phong,ngày kia,,9 giờ tối,,nam,None
317,b19,đặt giúp anh lịch khám tổng quats cho bố Nguyễn HỮU pháT và mẹ phạm linh chi nhé,Nguyễn HỮU pháT,phạm linh chi,,,,,,
318,b19,cưng đặt giúp chị lịch kiểm tra sức khẻo với bs ĐônG Tấn Pha và nguyễn văn phong nhé,ĐônG Tấn Pha,nguyễn văn phong,,,,,,
319,b19,"bác sĩ Trần Hải ĐăNG và lâm tự bình có rảnh không, chị cần hẹn khám lúc 14 giờ chiều mai",Trần Hải ĐăNG,lâm tự bình,mai,,14 giờ chiều,,,
320,b19,"đặt lịch khám cho cậu là TiếT tẤn Phúc, mợ là ngô bình phương phi",TiếT tẤn Phúc, ngô bình phương phi,,,,,,
321,b20,tôi tên Phạm Nam muốn đặt lịch với bác sĩ irina kushakova vào 8h45 ngày 12/04,Phạm Nam,irina kushakova,12/04,,8h45,,nam,None
322,b20,đặt lịch khám cho bố là brad pitt mẹ là angelina joile vào ngày 08/08 tháng sau,brad pitt,angelina joile,08/08 tháng sau,,,,,
323,b20,"hi em, chị là helen thanh đào đang muốn đặt lịch khám thai vs bác sĩ soo young khoa phụ sản",helen thanh đào,soo young,,,,,,
324,b20,anh đang cần đặt lịch khám tổng quát cho 2 đứa con là g-dragon và park hyun seo,g-dragon,park hyun seo,,,,,,
325,b20,"bác sĩ Thu Thảo khoa tim mạch có rảnh ngày mai ko, mịnhf muốn đặt lịch khám cho con là h ' ăng nie",Thu Thảo,h ' ăng nie,ngày mai,,,,,
326,b21,tui cần đặt lịch khám cho cậu mợ là trần thị bửu hạnh và Dustin Nguyễn vào ngày 06/06/2021,trần thị bửu hạnh,Dustin Nguyễn,06/06,,,,nam,None
327,b21,cô là Phan Ngọc Nga đang cần đặt lịch khám bệnh vs bs Rhymastic,Phan Ngọc Nga,Rhymastic,,,,,,
328,b21,"anh đang cần đặt lịch  khám cho bố là ali hoàng dương và vợ Jennifer Phạm, em xem có lịch nào sớm nhất thì báo cho anh nhé",ali hoàng dương,Jennifer Phạm,,,,,,
329,b21,chú là tô thái nghĩa cần đặt lịch khám vs bác sỹ Timothee Chalamet khoa trĩ,tô thái nghĩa,Timothee Chalamet,,,,,,
330,b21,đặt giúp anh lịch khám vs bác sĩ lou hoàng và Huang Yanshen vào 12 giờ trưa mai nhé,lou hoàng,Huang Yanshen,mai,,12 giờ trưa,,,
331,b22,Toi là phạm hữa danh cần đặt lịch vs bs TarOn Egerton khoa nhi vào 4 giờ chiều ngày kia,phạm hữu danh,TarOn Egerton,ngày kia,,4 giờ chiều,,nam,None
332,b22,tôi cần đặt lịch khám cho mợ là huỳnh thị hoài cậu là sOObin hoÀng Sơn vào chiều nay,huỳnh thị hoài,sOObin hoÀng Sơn,chiều nay,,,,,
333,b22,cho chị đặt lịch hẹn với bác sĩ Bùi Thị Thắm và kOVaceVic dANko chiều mai để tư vấn phẫu thuật nhé,Bùi Thị Thắm,kOVaceVic dANko,chiều mai,,,,,
334,b22,"đặt giúp anh lịch tái khám với bác sĩ huỳnh phú thanh nhé, anh là JIMmy butler",huỳnh phú thanh,JIMmy butler,,,,,,
335,b22,"bác sĩ trần tường khoa tim mạch mai có rảnh ko, anh cần đặt lịch gấp cho bố là joakim NOAH",trần tường,joakim NOAH,mai,,,,,
336,b23,"hey bot, đặt giúp anh lịch khám dạ dày với bs eusebio sacristan khao đường ruột với, anh đặt cho bố là lê ngọc thông vào lúc 5 giờ chiều ngày 07/09 nhé",eusebio sacristan,lê ngọc thông,07/09,,5 giờ chiều,,nam,None
337,b23,em là ramon martinez cần đặt lịch xạ trị với bác sĩ anh thư ạ,ramon martinez,anh thư,,,,,,
338,b23,anh là phúc thịnh conway lee cần đặt lịch xét nghiệm hiv vvs bac sĩ huỳnh văn thống ngày kia nhá,phúc thịnh conway lee,huỳnh văn thống,ngày kia,,,,,
339,b23,cần đặt hộ 1 lịch khám cho chú là đức nam yanbi lúc 9 giờ tối vs bác sĩ nguyễn hoàng phú quý,đức nam yanbi,nguyễn hoàng phú quý,,,9 giờ tối,,,
340,b23,"dạo này dạ dày tôi bị đau lại, cho tôi đặt lịch khám lại vs bs nicki minaj khoa đươngf ruột nhé, tui là đặng thái sơn",nicki minaj,đặng thái sơn,,,,,,
341,b24,đặt lịch khám lại cho mẹ là Hwasa vs bác sĩ chu ân nhé,Hwasa,chu ân,,,,,nam,None
342,b24,đặt giúp anh lịch khám tổng  với bs Moon Byul và bs Hoàng Văn An lúc 8 giờ chiều ngày kia vs,Moon Byul,Hoàng Văn An,ngày kia,,8 giờ chiều,,,
343,b24,anh trai tui là Zico cần đặt lịch khám mắt vs bác sĩ tạ thành việt,Zico,tạ thành việt,,,,,,
344,b24,"sáng ngày kia lúc 8 giờ, đặt giups chị lịch xét nghiệm vs bác sĩ Tae Il vs bs quốc anh",Tae Il,quốc anh,ngày kia,,8 giờ,,,
345,b24,đặt khám cho con trai Park Kyung và con gái Lan Anh vào ngày 08/08,Park Kyung,Lan Anh,08/08,,,,,
346,b25,đặt lịch khám cho cậu sAm ASghari và mợ nguyễn tuyết ngân vào thứ 6 tuần sau nhé,sAm ASghari,nguyễn tuyết ngân,thứ 6 tuần sau,,,,nam,None
347,b25,tôi là CHRIS chellIAL cần đặt lịch khám vs bác sĩ Như Ngọc,CHRIS chellIAL,Như Ngọc,,,,,,
348,b25,"tôi là  OLeg boCHKarev hiện đang có triệu chúng đau đầu sổ mũi, cần đặt lịch xét nghiệm covid vs bác sĩ Đoàn Đại Ngọc",OLeg boCHKarev,Đoàn Đại Ngọc,,,,,,
349,b25,đặt lịch khám tổng quát cho bố TOmer TZach và mẹ trần thu trà vào  5,TOmer TZach,trần thu trà,thứ 5,,,,,
350,b25,đặt lịch khám cho con trai là sON IN-hyuk với bs bảo khai nguyên,sON IN-hyuk,bảo khai nguyên,,,,,,
351,b26,"dạo này tôi bí stress quá cần khám tâm lý với bs razaqzada, tôi là ray dalio vào 9 giờ tối nhé",razaqzada,ray dalio,,,9 giờ tối,,nam,None
352,b26,tôi là david madden cần đặt lịch khám vs bs john hathaway,david madden,john hathaway,,,,,,
353,b26,"ê, anh là maxwell gold cần đặt lịch vs bác sỹ jordan belfort khoa tim mạch",maxwell gold,jordan belfort,,,,,,
354,b26,anh là adam button muốn đặt lịch khám thai cho vợ là jamie dimonon vào ngày mai,adam button,jamie dimonon,ngày mai,,,,,
355,b26,chị là ole hansen muốn đặt lịch khám cho con trai warren buffett,ole hansen,warren buffett,,,,,,
356,b27,"anh là Alexander Graham Bell cần đặt lịch khám cho con là Tchaikovsky, cháu kém ăn, người ra mồ hôi 2 hôm nay rồi",Alexander Graham Bell,Tchaikovsky,,,,,nam,None
357,b27,đặt lịch khám cho em trai Gardiner Hubbard vs bác sĩ Marie khoa trĩ nội,Gardiner Hubbard,Marie,,,,,,
358,b27,"đặt cho anh lịch khám ngày 04/04 voi bs Thomas Sanders khoa tim mạch nhé, anh đặt cho vơj là Imone Biles",Thomas Sanders,Imone Biles,04/04,,,,,
359,b27,đặt lịch khám cho vợ Russel Lok với bác sĩ Larry Nassar khoa phụ sản,Russel Lok,Larry Nassar,,,,,,
360,b27,chị là Thanh Vân Hugo muốn đặt lịch với dr Biles lúc 10 giờ sáng 07/08,Thanh Vân Hugo,Biles,10 giờ sáng,,07/08,,,
361,b28,dat giup anh lich kham cho con trai cyborg va con gai francis crowley vao chieu ngay kia nhe,cyborg,francis crowley,chieu ngay kia,,,,nam,None
362,b28,anh la rourey muon dat lich kham tong quat voi bs robert elliot,rourey,robert elliot,,,,,,
363,b28,chi la wanderlei silva muon dat lich kham voi bac sy anna crowley khoa hoi suc,wanderlei silva,anna crowley,,,,,,
364,b28,"bot oi, dat giup anh mot lich kham voi bac si christian aguilera khoa than kinh voi, anh la frank lipman",christian aguilera,frank lipman,,,,,,
365,b28,"can dat ho motj lich kham vao 8 gio toi 09/10 voi bac si tito ortiz, toi dat cho con trai laf ilyse schapiro",tito ortiz,ilyse schapiro,09/10,,8 gio toi,,,
366,c18,tui là chị gái của bạch cốt tich tên BạcH thị bưởi mún đổi lịch khám của em nó, bạch cốt tich, BạcH thị bưởi,,,,,minh,19/7
367,c18,"trân châu là mẹ của bé TrÂu chân, xin bác sĩ cho bé  khám sớm 1-2 tiếng để về kịp học thêm ạ",trân châu,TrÂu chân,,,sớm 1-2 tiếng,,,
368,c18,trà xanh tên thật là hỒng tHanh ạ. bot đổi lại tên trong lịch hẹn hồi nãy nha,trà xanh,hỒng tHanh,,,,,,
369,c18,đổi giờ khám thành 9h cho liêu đăng tâm vs bác trần hOài naM,liêu đăng tâm,trần hOài naM,,,9h,,,
370,c18,"sáng mai y như cũ, 8 giờ rưỡi sáng con em lê tấn đăng tâm sẽ khám bác lÊ yên thanh ạ",lê tấn đăng tâm ,lÊ yên thanh,,, 8 giờ rưỡi sáng,,,
371,c19,"cố gắng nha anh sàI gòn ơi, em cao tiến đã đổi lịch cho anh rồi",sàI gòn,cao tiến,,,,,minh,19/7
372,c19,LƯƠNG XUÂN TRƯỜNG đang đứng trước cơ hội được tái khám bs đào cao khoa với lịch khám có sự thay đổi từ 9h sáng thành 13h chiều,LƯƠNG XUÂN TRƯỜNG,đào cao khoa ,,,9h sáng thành 13h chiều,,,
373,c19,"Hồng TIỂU MỘNG là con nuôi của phụ hoàng hoàng cách cách, xin được đổi lịch hẹn cho phụ thân ạ",Hồng TIỂU MỘNG, hoàng cách cách,,,,,,
374,c19,hướng dẫn đổi lịch khám.tôi tên thÁi văn cơ. có đặt khám với thần y phạm quốc hùng,thÁi văn cơ,phạm quốc hùng,,,,,,
375,c19,đổi lịch khám thì cần làm gì .tôi tên thÁi sỬ từ. có đặt khám với thần y phạm quốc hùng,thÁi sỬ từ,phạm quốc hùng,,,,,,
376,c20,"triệu tử long bái kiến thần y hoa đà , xin thần y cho em đổi lịch khám sang thứ 6 ạ",triệu tử long,hoa đà,thứ 6,,,,minh,2/7
377,c20,"em quang tèo vừa bị bế đi cách ly ạ, xin dời hẹn bác sĩ sáng sang sáng thứ 7, là tầm 21 ngày nữa ạ",quang tèo,sang,thứ 7,,,,,
378,c20,"tôi là vũ đức thiện, nghệ danh là rhymastic muốn đổi lịch bác sĩ ạ",vũ đức thiện,rhymastic,,,,,,
379,c20,mặc dù em rất thích bác sĩ tiến nhưng em muốn đổi lịch với bác kiên ạ,tiến,kiên,,,,,,
380,c20,"xin lỗi bác sĩ em lỡ xem cô minh thu nên trễ lịch hẹn, xin bác ga cho em dời khám sang 3 ngày nữa ạ",minh thu,ga,3 ngày nữa,,,,,
381,c21,"triệu tử long bái kiến thần y Hòa Đà , xin thần y cho em đổi lịch khám sang thứ 6 ạ",triệu tử long,Hoa Đà,thứ 6,,,,minh,2/7
